April	* [[April 1]] - [[April Fools' Day]]\n* [[April 1]] - Islamic Republic Day ([[Iran]])\n* [[April 2]] - International Children's Book Day\n* [[April 2]] - [[Thailand|Thai]] Heritage and [[wikt:conservation|Conservation]] Day\n* [[April 2]] - World [[Autism]] Awareness Day\n* [[April 2]] - Malvinas Day ([[Argentina]])\n* [[April 4]] - Independence Day ([[Senegal]])\n* [[April 4]] - International Day for Landmine Awareness and Assistance\n* [[April 4]] - Peace Day ([[Angola]])\n* [[April 5]] - End of [[Tax]] Year ([[United Kingdom]])\n* [[April 6]] - Tartan Day ([[Canada]] and [[United States]])\n* [[April 6]] - Chakri Day ([[Thailand]])\n* [[April 7]] - Day of Maternity and Beauty ([[Armenia]])\n* [[April 7]] - Genocide Memorial Day ([[Rwanda]])\n* [[April 7]] - World [[Health]] Day\n* [[April 7]] - Women's Day ([[Mozambique]])\n* [[April 8]] - [[Buddha]]'s Birthday ([[Buddhism]])\n* [[April 9]] - Martyrs' Day ([[Tunisia]])\n* [[April 9]] - Day of National Unity ([[Georgia (country)|Georgia]])\n* [[April 9]] - Day of the [[Finnish language]]\n* [[April 12]] - [[Cosmonaut]]s' Day ([[Russia]]), marking the day of [[Yuri Gagarin]]'s space flight\n* [[April 13]] - Songkan ([[Laos]]), local New Year celebration\n* [[April 13]] - [[Cambodia]]n New Year\n* [[April 13]] - [[Thomas Jefferson]]'s [[Birthday]] ([[United States]])\n* [[April 14]] - [[Southeast Asia]]n [[New Year]] festivals, including [[Songkran]]\n* [[April 14]] - [[Georgian language]] Day\n* [[April 14]] - Youth Day ([[Angola]])\n* [[April 14]] - Ambedkar Tayanti ([[India]])\n* [[April 14]] - Pan-American Day\n* [[April 15]] - [[Tax]] Day ([[United States]])\n* [[April 15]] - [[Kim Il-Sung]]'s [[Birthday]] ([[North Korea]])\n* [[April 15]] - [[Father Damien]] Day ([[Hawaii]])\n* [[April 15]] - [[Jackie Robinson]] Day ([[Major League Baseball]])\n* [[April 16]] - [[Birthday]] of Queen [[Margrethe II of Denmark]]\n* [[April 16]] - Emancipation Day ([[Washington, DC]])\n* [[April 16]] - World [[Voice]] Day\n* [[April 16]] - [[Selena]] Day ([[Texas]])\n* [[April 17]] - National Day of [[Syria]]\n* [[April 17]] - Flag Day ([[American Samoa]])\n* [[April 17]] - Women's Day ([[Gabon]])\n* [[April 17]] - World [[Hemophilia]] Day\n* [[April 18]] - Independence Day ([[Zimbabwe]])\n* [[April 18]] - Invention Day ([[Japan]])\n* [[April 18]] - International Day of [[Monument]]s and Sites\n* [[April 19]] - [[Bicycle]] Day\n* [[April 19]] - Dutch-American Friendship Day\n* [[April 19]] - [[Birthday]] of King [[Mswati III]] of [[Swaziland]]\n* [[April 19]] - Patriots' Day ([[Massachusetts]], [[Maine]], [[Wisconsin]])\n* [[April 20]] - 4/20 in [[Cannabis]] [[Culture]]\n* [[April 21]] - [[John Muir]] Day ([[California]])\n* [[April 21]] - San Jacinto Day ([[Texas]])\n* [[April 21]] - Kartini Day ([[Indonesia]])\n* [[April 21]] - National [[Tree]] Planting Day ([[Kenya]])\n* [[April 21]] - First Day of [[Ridran]] ([[Baha'i]] faith)\n* [[April 21]] - Grounation Day ([[Rastafari movement]])\n* [[April 22]] - [[Earth Day]]\n* [[April 22]] - Discovery Day ([[Brazil]])\n* [[April 23]] - [[Saint George]]'s Day, celebrating the patron saint of several countries, regions and cities (including [[England]] and [[Catalonia]])\n* [[April 23]] - World [[Book]] Day\n* [[April 23]] - National Sovereignty and [[Child]]ren's Day ([[Turkey]])\n* [[April 24]] - Democracy Day ([[Nepal]])\n* [[April 24]] - Genocide Day ([[Armenia]])\n* [[April 24]] - [[Republic]] Day (the [[Gambia]])\n* [[April 25]] - [[Australia]] and [[New Zealand]] celebrate [[ANZAC Day]]. [http://www.awm.gov.au/dawn/spirit/meaning.asp ANZAC] {{Webarchive|url=https://web.archive.org/web/20060615053606/http://www.awm.gov.au/dawn/spirit/meaning.asp |date=2006-06-15 }} means Australian and New Zealand Army Corps, and began in 1915.\n* [[April 25]] - World [[DNA]] Day\n* [[April 25]] - World [[Malaria]] Day\n* [[April 25]] - Flag Day ([[Swaziland]], [[Faroe Islands]])\n* [[April 25]] - Freedom Day ([[Portugal]])\n* [[April 25]] - Liberation Day ([[Italy]])\n* [[April 25]] - Army Day ([[North Korea]])\n* [[April 26]] - Union Day ([[Tanzania]])\n* [[April 26]] - Confederate Memorial Day ([[Texas]], [[Florida]])\n* [[April 27]] - Independence Day ([[Sierra Leone]] and [[Togo]])\n* [[April 27]] - Freedom Day ([[South Africa]])\n* [[April 27]] - World [[Tapir]] Day\n* [[April 27]] - King's Day ([[Netherlands]]) from [[2014]], birthday of [[Willem-Alexander of the Netherlands]]\n* [[April 28]] - Workers Memorial Day\n* [[April 28]] - National Day ([[Sardinia]])\n* [[April 28]] - National Heroes Day ([[Barbados]])\n* [[April 29]] - Showa Day ([[Japan]]), birthday of Emperor [[Hirohito]], who died in [[1989]]\n* [[April 29]] - International [[Dance]] Day\n* [[April 30]] - Former Queen's Day Holiday in the [[Netherlands]] (changed to King's Day, [[April 27]] in [[2014]]), was the birthday of former Queen [[Juliana of the Netherlands]]\n* [[April 30]] - Flag Day in [[Sweden]] (birthday of King [[Carl XVI Gustaf of Sweden]])\n* [[April 30]] - International [[Jazz]] Day\n* [[April 30]] - [[Walpurgis Night]] (Central and Northern [[Europe]])
April	* [[Easter]]-related events in Western [[Christianity]]:\n** Palm Sunday (between [[March 15]] and [[April 18]])\n** Maundy Thursday (between [[March 19]] and [[April 22]])\n** Good Friday (between [[March 20]] and [[April 23]])\n** [[Easter]] Sunday (between [[March 22]] and [[April 25]])\n** Easter Monday (between [[March 23]] and [[April 26]])\n* Eastern Orthodox Easter falls between [[April 4]] and [[May 8]].\n* Ascension Day (Western Christianity), falls between [[April 30]] and [[June 3]].\n* [[Judaism|Jewish]] [[Passover]] - falls in the same week as Western [[Christianity]]'s [[Holy Week]], which is the week leading up to [[Easter]].\n* [[Mother's Day]] ([[UK]]) falls between [[March 1]] and [[April 4]].\n* World [[Snooker]] Championship (late April, early [[May]])\n* [[Horse racing]] - [[Grand National]] ([[UK]]), [[Kentucky Derby]] ([[United States]])\n* Start of [[Daylight Saving Time]] - Clocks going forward one hour:\n** Most of [[Mexico]]\n** [[Morocco]] ([[Ramadan]] does not include Daylight Saving Time)\n* End of [[Daylight Saving Time]] - Clocks going back one hour:\n** Southeast [[Australia]], and [[New Zealand]]\n** [[Chile]]\n* [[Marathon]] Events in the following cities:\n** [[Belgrade]], [[Serbia]]\n** [[Boston, Massachusetts]], [[United States]]\n** [[Brighton]], [[United Kingdom]]\n** [[Enschede]], [[Netherlands]]\n** [[London]], [[United Kingdom]]\n** [[Madrid]], [[Spain]]\n** [[Paris]], [[France]]\n** [[Rotterdam]], [[Netherlands]]\n** [[Utrecht (city)|Utrecht]], [[Netherlands]]\n** [[Zurich]], [[Switzerland]]
April	* [[April 1]], [[1918]] - The [[Royal Air Force]] is founded.\n* [[April 1]], [[1976]] - [[Apple Inc.]] is founded.\n* [[April 1]], [[1979]] - The [[Islamic Republic of Iran]] is founded.\n* [[April 1]], [[1999]] - The [[territory]] of [[Nunavut]] is created in Northern [[Canada]].\n* [[April 1]], [[2001]] - The [[Netherlands]] introduces [[same-sex marriage]], as the first [[country]] to do so.\n* [[April 2]], [[1519]] - [[Florida]] is sighted by a [[Europe]]an for the first time.\n* [[April 2]], [[1930]] - [[Haile Selassie]] becomes [[Emperor of Ethiopia]].\n* [[April 2]], [[1982]] - Start of the [[Falklands War]], as Argentine forces land on the [[Falkland Islands]].\n* [[April 2]], [[2005]] - [[Pope John Paul II]] dies aged 84, after 26-and-a-half years as [[Pope]].\n* [[April 3]], [[1973]] - The first-ever [[mobile phone]] call is placed by Martin Cooper in [[New York City]].\n* [[April 4]], [[1721]] - [[Robert Walpole]] becomes the first [[Prime Minister]] of [[Great Britain]].\n* [[April 4]], [[1841]] - [[William Henry Harrison]] dies. He was [[President of the United States]] for 31 days, the shortest-ever time in office for a US President.\n* [[April 4]], [[1960]] - [[Senegal]] becomes independent.\n* [[April 4]], [[1968]] - [[Assassination]] of [[Martin Luther King, Jr.]] in [[Memphis, Tennessee]].\n* [[April 5]], [[1722]] - [[Jacob Roggeveen]] becomes the first [[Europe]]an to land on [[Easter Island]], landing there on [[Easter]] Sunday.\n* [[April 6]], [[1320]] - [[Scotland]]'s independence is confirmed with the Declaration of [[Arbroath]].\n* [[April 6]], [[1830]] - The [[Mormonism|Mormon]] Church is founded.\n* [[April 6]], [[1909]] - [[Robert Peary]] claims to have been first at the [[North Pole]] on this date.\n* [[April 7]], [[1994]] - The [[Rwandan Genocide]] begins.\n* [[April 9]], [[1865]] - [[American Civil War]]: [[Confederate States of America|Confederate]] forces under [[Robert E. Lee]] surrender to Union forces.\n* [[April 9]], [[1940]] - [[World War II]]: [[Denmark]] and [[Norway]] are invaded by [[Nazi]] [[Germany]].\n* [[April 9]], [[1989]] - April 9 tragedy: In [[Tbilisi]], [[Georgia (country)|Georgia]], a peaceful demonstration for independence is broken up by the [[Soviet]] [[Army]], killing 20 people. The country gains independence on this date exactly two years later.\n* [[April 10]], [[1815]] - Mount [[Tambora]] in [[Indonesia]] erupts in a huge eruption, affecting the world's climate for at least a year.\n* [[April 10]], [[2010]] - A [[fixed-wing aircraft|plane]] crash near Smolensk, [[Russia]], kills several people who were important in [[Poland]], including [[President]] [[Lech Kaczynski]].\n* [[April 11]], [[1814]] - [[Napoleon Bonaparte]] is [[exile]]d to the [[island]] of [[Elba]].\n* [[April 11]], [[1954]] - Said to have been the most boring day of the [[20th century]].\n* [[April 12]], [[1861]] - The [[American Civil War]] begins at [[Fort Sumter]], [[Charleston, South Carolina]].\n* [[April 12]], [[1945]] - US President [[Franklin D. Roosevelt]] dies, and [[Harry S. Truman]] replaces him.\n* [[April 12]], [[1961]] - [[Yuri Gagarin]] becomes the first [[human]] to fly into [[Outer space|space]].\n* [[April 14]], [[1865]] - US President [[Abraham Lincoln]] is shot dead at Ford's Theatre by [[John Wilkes Booth]]. Lincoln dies the next day.\n* [[April 14]], [[2010]] - [[Qinghai]] Province, [[China]], is hit by an [[earthquake]], killing tens of thousands of people.\n* [[April 14]], [[2010]] - The eruption of [[Eyjafjallajokull]] in [[Iceland]] shuts down air traffic around [[Europe]] for a week, due to its ash cloud.\n* [[April 15]], [[1912]] - The [[ship]] [[RMS Titanic]] sinks near [[Newfoundland]] after hitting an iceberg, resulting in the deaths of many of the people on board.\n* [[April 16]], [[1943]] - [[Albert Hofmann]] discovers [[LSD]]'s effects.\n* [[April 17]], [[1946]] - [[Syria]] gains full independence from [[France]].\n* [[April 18]], [[1906]] - [[1906 San Francisco earthquake]]: [[San Francisco]], [[California]], is hit by a big [[earthquake]], resulting in [[fire]]s that destroy large parts of the city.\n* [[April 18]], [[1980]] - [[Zimbabwe]] gains full independence.\n* [[April 19]], [[1897]] - The first [[Boston Marathon]] is held.\n* [[April 19]], [[1971]] - [[Sierra Leone]] becomes a [[republic]].\n* [[April 19]], [[1993]] - The siege of the Branch Davidians at Waco, [[Texas]], ends in a fire that kills 82 people.\n* [[April 19]], [[1995]] - [[Timothy McVeigh]] carries out the [[Oklahoma City bombing]], killing 169 people.\n* [[April 19]], [[2005]] - Joseph Alois Ratzinger becomes [[Pope Benedict XVI]].\n* [[April 20]], [[1902]] - [[Marie Curie]] and [[Pierre Curie]] refine [[Radium]].\n* [[April 20]], [[2010]] - [[Deepwater Horizon oil spill]]: A massive fire on the Deepwater Horizon drilling rig in the [[Gulf of Mexico]] kills 11 workers and causes a massive [[oil]] spill, the worst spill in US history.\n* [[April 21]], [[753 BC]] - Legendary founding date of [[Rome]]\n* [[April 21]], [[1509]] - [[Henry VIII of England]] becomes [[King]].\n* [[April 21]], [[1908]] - [[Frederick Cook]] claims to have reached the [[North Pole]] on this date.\n* [[April 22]], [[1502]] - [[Pedro Alvares Cabral]] becomes the first [[Europe]]an to reach present-day [[Brazil]].\n* [[April 22]], [[1970]] - [[Earth Day]] is observed for the first time.\n* [[April 23]], [[1533]] - The [[Church of England]] declares that [[Henry VIII of England]] and [[Catherine of Aragon]] are not married.\n* [[April 24]], [[1916]] - The [[Easter Rising]] occurs in [[Dublin]], [[Ireland]].\n* [[April 24]], [[1990]] - The [[Hubble Space Telescope]] is launched on the [[Space Shuttle Discovery]].\n* [[April 25]], [[1915]] - [[World War I]]: In [[Turkey]], the [[Battle of Gallipoli]] begins, [[Australia]]n, French, British and [[New Zealand]] forces land at Anzac cove.\n* [[April 25]], [[1974]] - [[Portugal]]'s dictatorship is overthrown in a coup, in what is known as the Carnation Revolution.\n* [[April 26]], [[1937]] - [[Spanish Civil War]]: German planes bomb the town of Guernica, [[Basque Country (autonomous community)|Basque Country]], later depicted in a painting by [[Pablo Picasso]].\n* [[April 26]], [[1964]] - [[Tanganyika]] and [[Zanzibar]] merge to form [[Tanzania]].\n* [[April 26]], [[1986]] - A reactor explosion occurs at the [[Chernobyl]] nuclear plant in present-day [[Ukraine]], with [[radiation]] spreading around Europe and the world.\n* [[April 26]]/[[April 27|27]], [[1994]] - [[South Africa]] holds its first free elections.\n* [[April 27]], [[1960]] - [[Togo]] becomes independent from [[France]].\n* [[April 27]], [[1961]] - [[Sierra Leone]] becomes independent from the [[United Kingdom]].\n* [[April 28]], [[1789]] - Mutiny on the ship Bounty in the [[Pacific Ocean]], lead by [[Fletcher Christian]].\n* [[April 28]], [[1945]] - [[Benito Mussolini]] is executed by Italian partisans.\n* [[April 28]], [[1947]] - In [[Peru]], [[Thor Heyerdahl]] starts his [[Kon-Tiki]] expedition aimed at proving his theory that the [[Polynesia]]n settlers on the [[Pacific Ocean]]'s [[island]]s came from [[South America]].\n* [[April 29]], [[1991]] - A [[cyclone]] in [[Bangladesh]] kills an estimated 138,000 people.\n* [[April 29]], [[2011]] - The wedding of [[Prince William, Duke of Cambridge]] and [[Catherine, Duchess of Cambridge]] is broadcast worldwide.\n* [[April 30]], [[1789]] - [[George Washington]] becomes the first [[President of the United States]].\n* [[April 30]], [[1803]] - The [[United States]] purchases (buys) the [[Louisiana]] territory from [[France]].\n* [[April 30]], [[1945]] - [[Adolf Hitler]] commits suicide on the same day that the [[Soviet]] Army raises the Red Flag on [[Berlin]]'s [[Reichstag (building)|Reichstag]].\n* [[April 30]], [[1952]] - The [[Diary]] of [[Anne Frank]] is published in English.\n* [[April 30]], [[1975]] - The [[Vietnam War]] ends, as [[North Vietnam]]ese forces take [[Saigon]].\n* [[April 30]], [[1980]] - Queen [[Juliana of the Netherlands]] abdicates the throne, and her daughter becomes Queen [[Beatrix of the Netherlands]]. Beatrix later also abdicates, on this day in [[2013]], in favor of her son, King [[Willem-Alexander of the Netherlands]].
April	* In Western [[Christianity]], there is a bigger likelihood of [[Easter]] falling in April than in [[March]].\n* The months around April ([[March]] and [[May]]) both start with an 'M' in the [[English language]], with an 'A' as the second letter.\n* In the [[English language]], April is the first of three months in-a-row, along with [[May]] and [[June]], that is also a [[female]] given name.\n* The astrological signs for April are [[Aries]] ([[March 21]] to [[April 20]]) and [[Taurus]] ([[April 21]] to [[May 20]]).\n* The [[sweet pea]] and [[Asteraceae|daisy]] are the traditional birth flowers for April.\n* Birthstone for April is the [[Diamond]].\n*[[April 1]] is the only day in April to start within the first quarter of the [[calendar]] year.\n* If the months of the [[year]] were arranged in [[alphabet]]ical order in the [[English language]], April would come first.\n* Six current [[Europe]]an [[monarch]]s were born in April. They are King [[Philippe of Belgium]] ([[April 15]]), Queen [[Margrethe II of Denmark]] ([[April 16]]), [[Henri, Grand Duke of Luxembourg]] ([[April 16]]), [[Elizabeth II]] of the [[United Kingdom]] and [[Commonwealth realm]]s ([[April 21]]), King [[Willem-Alexander of the Netherlands]] ([[April 27]]), and King [[Carl XVI Gustaf of Sweden]] ([[April 30]]).
August	* [[August 1]] {{ndash}} National Day of [[Switzerland]]\n* [[August 1]] {{ndash}} Independence Day ([[Benin]])\n* [[August 1]] {{ndash}} Emancipation Day ([[Bermuda]], [[Guyana]], [[Jamaica]], [[Barbados]], [[Trinidad and Tobago]])\n* [[August 1]] {{ndash}} Army Day ([[People's Republic of China]])\n* [[August 1]] {{ndash}} [[Lammas]], cross-quarter day in the [[Celts|Celtic]] [[calendar]]\n* [[August 1]] {{ndash}} Statehood Day ([[Colorado]])\n* [[August 2]] {{ndash}} Republic Day ([[Republic of Macedonia]])\n* [[August 2]] {{ndash}} Emancipation Day ([[Bahamas]])\n* [[August 3]] {{ndash}} Independence Day ([[Niger]])\n* [[August 5]] {{ndash}} Independence Day ([[Burkina Faso]])\n* [[August 5]] {{ndash}} Victory Day ([[Croatia]])\n* [[August 6]] {{ndash}} Independence Day ([[Bolivia]])\n* [[August 6]] {{ndash}} Independence Day ([[Jamaica]])\n* [[August 7]] {{ndash}} Independence Day ([[Ivory Coast]])\n* [[August 8]] {{ndash}} Father's Day ([[Taiwan]])\n* [[August 9]] {{ndash}} National Day of [[Singapore]]\n* [[August 9]] {{ndash}} Day of the Indigenous People ([[Suriname]])\n* [[August 9]] {{ndash}} National Women's Day ([[South Africa]])\n* [[August 10]] {{ndash}} Independence Day ([[Ecuador]])\n* [[August 10]] {{ndash}} [[Missouri]] Day\n* [[August 11]] {{ndash}} Independence Day ([[Chad]])\n* [[August 12]] {{ndash}} Perseid [[Meteor]] Shower\n* [[August 12]] {{ndash}} Queen Sirikit's Birthday ([[Thailand]])\n* [[August 13]] {{ndash}} Independence Day ([[Central African Republic]])\n* [[August 14]] {{ndash}} Independence Day ([[Pakistan]])\n* [[August 15]] {{ndash}} [[Assumption of Mary]] in Western [[Christianity]]\n* [[August 15]] {{ndash}} Independence Day ([[India]])\n* [[August 15]] {{ndash}} Independence Day ([[Republic of the Congo]])\n* [[August 15]] {{ndash}} Independence Day ([[Bahrain]])\n* [[August 15]] {{ndash}} National Day of [[South Korea]]\n* [[August 15]] {{ndash}} National Day of [[Liechtenstein]]\n* [[August 15]] {{ndash}} [[Victory]] in [[Japan]] Day\n* [[August 17]] {{ndash}} Independence Day ([[Indonesia]])\n* [[August 17]] {{ndash}} Independence Day ([[Gabon]])\n* [[August 19]] {{ndash}} World [[Humanitarian]] Day\n* [[August 19]] {{ndash}} Independence Day ([[Afghanistan]])\n* [[August 20]] {{ndash}} Feast day of [[Stephen I of Hungary]]\n* [[August 20]] {{ndash}} Regaining of Independence ([[Estonia]])\n* [[August 21]] {{ndash}} Admission Day ([[Hawaii]])\n* [[August 21]] {{ndash}} Ninoy Aquino Day ([[Philippines]])\n* [[August 21]] {{ndash}} [[Saint Helena]] Day\n* [[August 23]] {{ndash}} National Heroes Day ([[Philippines]])\n* [[August 24]] {{ndash}} Independence Day ([[Ukraine]])\n* [[August 25]] {{ndash}} Independence Day ([[Uruguay]])\n* [[August 26]] {{ndash}} Heroes' Day ([[Namibia]])\n* [[August 27]] {{ndash}} Independence Day ([[Moldova]])\n* [[August 28]] {{ndash}} Assumption of Mary (Eastern [[Christianity]])\n* [[August 29]] {{ndash}} National Uprising Day ([[Slovakia]])\n* [[August 30]] {{ndash}} Constitution Day ([[Kazakhstan]])\n* [[August 30]] {{ndash}} Republic Day ([[Tatarstan]])\n* [[August 30]] {{ndash}} Victory Day ([[Turkey]])\n* [[August 31]] {{ndash}} Independence Day ([[Kyrgyzstan]])\n* [[August 31]] {{ndash}} Independence Day ([[Malaysia]])\n* [[August 31]] {{ndash}} Independence Day ([[Trinidad and Tobago]])
August	* [[Edinburgh]] Festival, including the Military Tattoo at [[Edinburgh Castle]], takes place through most of August and beginning of [[September]].\n* [[UK]] Bank Holidays: First [[Monday]] in [[Scotland]], last Monday in [[England]] and [[Wales]]\n* National Eisteddfod, cultural celebration in [[Wales]]: First week in August\n* Children's Day in [[Uruguay]]: Second Sunday in August\n* [[Monday]] after [[August 17]]: Holiday in [[Argentina]], commemorating [[Jose de San Martin]]\n* Discovery Day in [[Canada]]: third [[Monday]] in August\n* [[Summer Olympics]], often held in [[July]] and/or August
August	"* [[August 1]] {{ndash}} [[1291]]: Traditional founding date of [[Switzerland]].\n* [[August 1]] {{ndash}} [[1914]]: [[World War I]] begins.\n* [[August 1]] {{ndash}} [[1944]]: [[Anne Frank]] makes the last entry in her diary.\n* [[August 1]] {{ndash}} [[1960]]: [[Dahomey]] (now called [[Benin]]) becomes independent.\n* [[August 2]] {{ndash}} [[1990]]: [[Iraq]] invades [[Kuwait]].\n* [[August 3]] {{ndash}} [[1492]]: [[Christopher Columbus]] sets sail on his first voyage.\n* [[August 3]] {{ndash}} [[1960]]: [[Niger]] becomes independent.\n* [[August 4]] {{ndash}} [[1944]]: [[Anne Frank]] and her family are captured by the [[Gestapo]] in [[Amsterdam]].\n* [[August 4]] {{ndash}} [[1984]]: [[Upper Volta]]'s name is changed to [[Burkina Faso]].\n* [[August 5]] {{ndash}} [[1960]]: [[Upper Volta]] becomes independent.\n* [[August 5]] {{ndash}} [[1962]]: Film actress [[Marilyn Monroe]] is found dead at her home.\n* [[August 6]] {{ndash}} [[1825]]: [[Bolivia]]n independence.\n* [[August 6]] {{ndash}} [[1945]]: The Atomic Bomb is dropped on [[Hiroshima]].\n* [[August 6]] {{ndash}} [[1962]]: [[Jamaica]] becomes independent.\n* [[August 7]] {{ndash}} [[1960]]: [[Ivory Coast]] becomes independent.\n* [[August 9]] {{ndash}} [[1945]]: The Atomic Bomb is dropped on [[Nagasaki]].\n* [[August 9]] {{ndash}} [[1965]]: [[Singapore]] becomes independent.\n* [[August 9]] {{ndash}} [[1974]]: US President [[Richard Nixon]] resigns following the [[Watergate scandal]], with [[Gerald Ford]] replacing him.\n* [[August 10]] {{ndash}} [[1792]]: Storming of the Tuileries Palace during the [[French Revolution]]\n* [[August 10]] {{ndash}} [[1809]]: Beginning of [[Ecuador]]ean independence movement.\n* [[August 11]] {{ndash}} [[1960]]: [[Chad]] becomes independent.\n* [[August 13]] {{ndash}} [[1960]]: The [[Central African Republic]] becomes independent.\n* [[August 13]] {{ndash}} [[1961]]: Building of the [[Berlin Wall]] begins.\n* [[August 14]] {{ndash}} [[1945]]: [[Japan]] announces its surrender at the end of [[World War II]].\n* [[August 14]]/[[August 15|15]] {{ndash}} [[1947]]: [[India]] is partitioned at independence from the UK, as the new mainly [[Islam]]ic state of [[Pakistan]] is created.\n* [[August 15]] {{ndash}} [[1960]]: The [[Republic of the Congo]] becomes independent.\n* [[August 15]] {{ndash}} [[1971]]: [[Bahrain]] becomes independent.\n* [[August 16]] {{ndash}} [[1977]]: [[Elvis Presley]] dies aged 42, leading to a worldwide outpouring of grief.\n* [[August 17]] {{ndash}} [[1945]]: [[Indonesia]] declares independence from the [[Netherlands]].\n* [[August 17]] {{ndash}} [[1960]]: [[Gabon]] becomes independent.\n* [[August 17]] {{ndash}} [[1962]]: [[Peter Fechter]] becomes the first person to be shot dead at the [[Berlin Wall]].\n* [[August 19]] {{ndash}} [[43 BC]]: [[Augustus]] becomes [[Roman consul]].\n* [[August 19]] {{ndash}} [[14]]: [[Augustus]] dies.\n* [[August 19]] {{ndash}} [[1919]]: [[Afghanistan]] becomes independent.\n* [[August 19]] {{ndash}} [[1991]]: The August Coup against [[Mikhail Gorbachev]], in the [[Soviet Union]], begins.\n* [[August 20]] {{ndash}} [[1940]]: [[Leon Trotsky]] is fatally wounded with an ice pick in [[Mexico]].\n* [[August 20]] {{ndash}} [[1968]]: The [[Prague]] Spring uprising is crushed.\n* [[August 20]] {{ndash}} [[1991]]: [[Estonia]] regains its independence from the [[Soviet Union]].\n* [[August 21]] {{ndash}} [[1959]]: [[Hawaii]] becomes the 50th State of the [[US]].\n* [[August 24]] {{ndash}} [[79]]: [[Vesuvius]] erupts, destroying [[Pompeii]] and neighbouring [[Herculaneum]].\n* [[August 24]] {{ndash}} [[1991]]: [[Ukraine]] regains independence from the [[Soviet Union]].\n* [[August 25]] {{ndash}} [[1825]]: [[Uruguay]] declares independence from [[Brazil]].\n* [[August 27]] {{ndash}} [[1883]]: [[Krakatoa]], in the Sunda Strait between [[Sumatra]] and [[Java]], explodes, after a very violent eruption.\n* [[August 27]] {{ndash}} [[1991]]: [[Moldova]] becomes independent from the [[Soviet Union]].\n* [[August 28]] {{ndash}} [[1963]]: The [[March on Washington for Jobs and Freedom]] takes place, where [[Martin Luther King, Jr.]] makes his ""I Have a Dream"" speech for Civil Rights in the [[United States]].\n* [[August 29]] {{ndash}} [[2005]]: [[Hurricane Katrina]] wreaks devastation in [[Alabama]], [[Mississippi]] and [[Louisiana]]. [[New Orleans]] is flooded.\n* [[August 31]] {{ndash}} [[1957]]: [[Malaysia]], then the [[Malaysia|Federation of Malaya]], becomes independent.\n* [[August 31]] {{ndash}} [[1962]]: [[Trinidad and Tobago]] becomes independent.\n* [[August 31]] {{ndash}} [[1991]]: [[Kyrgyzstan]] becomes independent.\n* [[August 31]] {{ndash}} [[1997]]: [[Diana, Princess of Wales]] is killed in a car crash in [[Paris]], leading to a big outpouring of grief."
August	* August is the only calendar month in the [[English language]] that can be a [[male]] given name.\n* Along with [[July]], August is one of two calendar months to be named after people who really lived (July was named for [[Julius Caesar]] and August was named for [[Augustus]]).\n* Only one [[President of the United States|US President]] has died in August, [[Warren G. Harding]], on [[August 2]], [[1923]].\n* August's flower is the [[Gladiolus]] with the birthstone being [[peridot]].\n* The astrological signs for August are Leo ([[July 22]] - [[August 21]]) and Virgo ([[August 22]] - [[September 21]]).\n*August is the second of two months beginning with 'A', the other being April, with both April 21 and August 21 falling either side of the Northern summer solstice.
Art	* Plastic art\n** Fine art is expression by making something [[Beauty|beautiful]] or appealing to the [[emotion]]s by visual means: [[drawing]], [[painting]], [[printmaking]], [[sculpture]]\n** Literature: [[poetry]], creative [[writing]]\n* Performing art\n** Performing art including [[drama]] are (expression using the body: [[dance]], [[acting]], [[singing]])\n** Auditory art (expression by making [[sound]]s): [[music]], [[singing]]\n* Practical art\n** Culinary art (expression by making [[flavor]]s and [[taste]]s): [[cooking]]\n** The practical arts (expression by making things and structures: [[architecture]], [[Movie|filming]], [[fashion]], [[photography]], [[video games]])
Art	* [[Modern art]]\n* [[Abstract art]]\n* [[Painting]]\n* [[Sculpture]]\n* [[Street art]]
